"userType","gender","birthYear","state","jurisdiction","jurisdictionOthers","diocese","dioceseOthers","cradleOrConvert","cradleOrConvertOthers","clericalRank","clericalRankOthers","clericalStatus","clericalStatusOthers","parishType","parishTypeOthers","parishRole","parishRoleOthers","academicDegree","academicDegreeOthers","seminarySchool","seminarySchoolOthers","profession","Q1","Q2",,"Q3",,,,,,,,,
"Clergy",,1986,"California","Greek Orthodox Archdiocese of America",,"Metropolis of San Francisco",,"Cradle",,"Priest",,,,,,,,,,"Holy Cross Greek Orthodox School of Theology: Brookline, Massachusetts",,,"Youth Ministry (retention and return of youth & young adults)","Depth of engagement"" in parish life (frequency of confession  attendance at non-Sunday services  participation in ministries)","Strategies for parish education  catechization  outreach  etc.""   ",,,,,,,,,,
"Laity","Male",1971,"Georgia","Orthodox Church in America",,"Romanian Episcopate",,"Cradle",,,,,,,,"Parishioner not involved in a Ministry/ Organization",,"Graduate Degree",,,,"Engineet","Growing the parish","Youth Ministry (retention and return of youth & young adults)","Continuing education/training for clergy        ",,,,,,,,,,
"Laity","Female",1962,"Rhode Island","Orthodox Church in America",,"Diocese of New England",,"Converted as an Adult",,,,,,,,"Ministry/ Organization  Member",,"Graduate Degree",,,,"Teacher ","Effects of COVID-19 (attendance, stewardship, parish life, return & retention)        ",,,,,,,,,,,,
"Clergy",,1955,"Massachusetts","Antiochian Orthodox Christian Archdiocese of North America",,"Diocese of Ottawa, Eastern Canada, and Upstate New York",,"Cradle",,"Archpriest/Protopresbyter",,,,,,,,,,"Antiochian House of Studies|St Vladimir's Orthodox Theological Seminary: Crestwood, New York|An Orthodox Christian distance learning program","Yale and Pittsburgh Theological",,"Demographic shifts (how to balance the needs of different groups)        ",,,,,,,,,,,,
"Laity","Female",1938,"California","Antiochian Orthodox Christian Archdiocese of North America",,"Diocese of Wichita and Mid-America",,"Converted as an Adult",,,,,,,,"Priest's Wife",,"Graduate Degree",,,,"Retired","Continuing education/training for clergy","Support for clergy (to avoid burnout)","Demographic shifts (how to balance the needs of different groups)        ",,,,,,,,,,
"Laity","Female",2000,"New York","Greek Orthodox Archdiocese of America",,"Greek Orthodox Archdiocese of America",,"Converted as an Adult",,,,,,,,,"Bot","High School Diploma",,,,"Bot","Demographic shifts (how to balance the needs of different groups)","Continuing education/training for clergy        ",,,,,,,,,,,
"Laity","Female",1984,"North Carolina","Greek Orthodox Archdiocese of America",,"Metropolis of Atlanta",,"Cradle",,,,,,,,,"Cantor","College Degree",,,,"Stay at home mom and licensed dietitian","Financial contributions/donations/stability","Demographic shifts (how to balance the needs of different groups)","Strategies for parish education, catechization, outreach, etc.        ",,,,,,,,,,
"Clergy",,1981,"New York","Greek Orthodox Archdiocese of America",,"Direct Archdiocesan District",,"Cradle",,"Archimandrite",,,,,,,,,,"Antiochian House of Studies","Aristotle University of Thessaloniki ",,"Growing the parish","Financial contributions/donations/stability","Effects of COVID-19 (attendance, stewardship, parish life, return & retention)        ",,,,,,,,,,
"Clergy",,1992,"New York","Antiochian Orthodox Christian Archdiocese of North America",,"Diocese of Ottawa, Eastern Canada, and Upstate New York",,"Cradle",,"Priest",,,,,,,,,," St Tikhon's Orthodox Theological Seminary: South Canaan, Pennsylvania",,,"Strategies for parish education, catechization, outreach, etc.","Financial contributions/donations/stability","Youth Ministry (retention and return of youth & young adults)        ",,,,,,,,,,
"Clergy",,1951,"Rhode Island","Ukrainian Orthodox Church of the USA",,"Eastern Eparchy",,"Converted as an Adult",,"Archdeacon",,,,,,,,,,"St. Sophia Ukrainian Orthodox Theological Seminary: South Bound Brook, New Jersey",,,"Demographic shifts (how to balance the needs of different groups)","Effects of COVID-19 (attendance, stewardship, parish life, return & retention)","Growing the parish        ",,,,,,,,,,
"Clergy",,1981,"Indiana","Greek Orthodox Archdiocese of America",,"Metropolis of Detroit",,"Converted as an Adult",,"Priest",,,,,,,,,,"Holy Cross Greek Orthodox School of Theology: Brookline, Massachusetts",,,"Strategies for parish education, catechization, outreach, etc.","Continuing education/training for clergy","Support for clergy (to avoid burnout)        ",,,,,,,,,,
"Clergy",,1957,"Tennessee","Antiochian Orthodox Christian Archdiocese of North America",,"Diocese of Miami and the Southeast",,"Converted as an Adult",,"Priest",,,,,,,,,,"An Orthodox Christian distance learning program ",,,"Growing the parish","Depth of engagement"" in parish life (frequency of confession  attendance at non-Sunday services  participation in ministries)","Strategies for parish education  catechization  outreach  etc.""   ",,,,,,,,,,
"Laity","Male",1945,"Maryland","Antiochian Orthodox Christian Archdiocese of North America",,"Diocese of Oakland, Charleston, and the Mid-Atlantic",,"Cradle",,,,,,,,"Ministry/ Organization  Member|Parish Council Member",,"College Degree",,,,"Retired","Strategies for parish education, catechization, outreach, etc.","Youth Ministry (retention and return of youth & young adults)","Growing the parish        ",,,,,,,,,,
"Laity","Female",1967,"Illinois","Greek Orthodox Archdiocese of America",,"Metropolis of Chicago",,"Cradle",,,,,,,,"Ministry/ Organization Leader",,"Graduate Degree",,,,"Psychologist ","Youth Ministry (retention and return of youth & young adults)","Mental health needs of parishioners","Effects of COVID-19 (attendance, stewardship, parish life, return & retention)        ",,,,,,,,,,
"Laity","Male",1984,"Pennsylvania","Orthodox Church in America",,"Diocese of Pittsburgh and Western Pennsylvania",,"Converted as an Adult",,,,,,,,"Parish Council President",,"Graduate Degree",,,,"Attorney","Youth Ministry (retention and return of youth & young adults)","Depth of engagement"" in parish life (frequency of confession  attendance at non-Sunday services  participation in ministries)","Effects of COVID-19 (attendance  stewardship  parish life  return & retention)""   ",,,,,,,,,,
"Laity","Female",1995,"California","Greek Orthodox Archdiocese of America",,"Metropolis of San Francisco",,"Cradle",,,,,,,,"Ministry/ Organization Leader","Youth director ","College Degree",,,,"Parish Youth Director ","Demographic shifts (how to balance the needs of different groups)","Youth Ministry (retention and return of youth & young adults)","Effects of COVID-19 (attendance, stewardship, parish life, return & retention)        ",,,,,,,,,,
"Clergy",,1981,"Kansas","Antiochian Orthodox Christian Archdiocese of North America",,"Diocese of Wichita and Mid-America",,"Converted as an Adult",,"Archpriest/Protopresbyter",,,,,,,,,,"St Vladimir's Orthodox Theological Seminary: Crestwood, New York",,,"Youth Ministry (retention and return of youth & young adults)","Strategies for parish education, catechization, outreach, etc.","Demographic shifts (how to balance the needs of different groups)        ",,,,,,,,,,
"Clergy",,1962,"Virginia","Greek Orthodox Archdiocese of America",,"Metropolis of New Jersey",,"Converted as an Adult",,"Deacon",,,,,,,,,,"Holy Cross Greek Orthodox School of Theology: Brookline, Massachusetts",,,"Strategies for parish education, catechization, outreach, etc.","Depth of engagement"" in parish life (frequency of confession  attendance at non-Sunday services  participation in ministries)","Youth Ministry (retention and return of youth & young adults)""      ",,,,,,,,,,
"Laity","Female",1963,"Texas","Greek Orthodox Archdiocese of America",,"Metropolis of Denver",,"Converted as a Child",,,,,,,,"Ministry/ Organization  Member",,"Some College",,,,"Director, non-profit organization ","Sexual morality","Demographic shifts (how to balance the needs of different groups)","Support for clergy (to avoid burnout)        ",,,,,,,,,,
"Laity","Male",1982,"Kansas","Antiochian Orthodox Christian Archdiocese of North America",,"Diocese of Wichita and Mid-America",,"Converted as an Adult",,,,,,,,"Parishioner not involved in a Ministry/ Organization",,"Graduate Degree",,,,"Health insurance","Strategies for parish education, catechization, outreach, etc.","Depth of engagement"" in parish life (frequency of confession  attendance at non-Sunday services  participation in ministries)","Youth Ministry (retention and return of youth & young adults)""      ",,,,,,,,,,
"Laity","Female",1966,"California","Orthodox Church in America",,"Diocese of San Francisco and the West",,"Converted as an Adult",,,,,,,,"Parish Council Member|Ministry/ Organization Leader",,"Graduate Degree",,,,"Social Services Division Manager ","Youth Ministry (retention and return of youth & young adults)","Strategies for parish education, catechization, outreach, etc.","Mental health needs of parishioners        ",,,,,,,,,,
"Clergy",,1954,"Massachusetts","Antiochian Orthodox Christian Archdiocese of North America",,"Diocese of Oakland, Charleston, and the Mid-Atlantic",,"Cradle",,"Protodeacon",,,,,,,,,," St Tikhon's Orthodox Theological Seminary: South Canaan, Pennsylvania|St Vladimir's Orthodox Theological Seminary: Crestwood, New York",,,"Effects of COVID-19 (attendance, stewardship, parish life, return & retention)","Strategies for parish education, catechization, outreach, etc.","Influx of new inquirers        ",,,,,,,,,,
"Laity","Male",1972,"Illinois","Greek Orthodox Archdiocese of America",,"Metropolis of Chicago",,"Converted as an Adult",,,,,,,,"Parishioner not involved in a Ministry/ Organization",,"College Degree",,,,"Insurance claims","Strategies for parish education, catechization, outreach, etc.","Demographic shifts (how to balance the needs of different groups)","Youth Ministry (retention and return of youth & young adults)        ",,,,,,,,,,
"Laity","Male",1974,"Pennsylvania","Serbian Orthodox Church in North, Central and South America",,"Diocese of Eastern America",,"Converted as an Adult",,,,,,,,"Parishioner not involved in a Ministry/ Organization",,"Graduate Degree",,,,"Workforce Management Specialist","Depth of engagement"" in parish life (frequency of confession  attendance at non-Sunday services  participation in ministries)","Growing the parish","Strategies for parish education  catechization  outreach  etc.""   ",,,,,,,,,,
"Laity","Male",2003,"Florida","Orthodox Church in America",,"Diocese of Dallas and the South",,"Converted as an Adult",,,,,,,,"Parishioner not involved in a Ministry/ Organization",,"High School Diploma",,,,"Student","Strategies for parish education, catechization, outreach, etc.","Depth of engagement"" in parish life (frequency of confession  attendance at non-Sunday services  participation in ministries)","Financial contributions/donations/stability""      ",,,,,,,,,,
"Laity","Male",1940,"Illinois","Greek Orthodox Archdiocese of America",,"Metropolis of Chicago",,"Cradle",,,,,,,,"Parishioner not involved in a Ministry/ Organization",,"Graduate Degree",,,,"Retired professor ","Depth of engagement"" in parish life (frequency of confession  attendance at non-Sunday services  participation in ministries)","Demographic shifts (how to balance the needs of different groups)","Effects of COVID-19 (attendance  stewardship  parish life  return & retention)""   ",,,,,,,,,,
"Laity","Male",1966,"Florida","Ukrainian Orthodox Church of the USA",,"Eastern Eparchy",,"Converted as an Adult",,,,,,,,"Parishioner not involved in a Ministry/ Organization",,"College Degree",,,,"Dispatcher","Support for clergy (to avoid burnout)","Continuing education/training for clergy","Demographic shifts (how to balance the needs of different groups)        ",,,,,,,,,,
"Laity","Male",1995,"Massachusetts","Greek Orthodox Archdiocese of America",,"Direct Archdiocesan District",,"Converted as an Adult",,,,,,,,"Ministry/ Organization Leader",,"Graduate Degree",,,,"Educational Minister","Support for clergy (to avoid burnout)","Continuing education/training for clergy","Clergy shortage        ",,,,,,,,,,
"Laity","Male",1963,"Texas","Antiochian Orthodox Christian Archdiocese of North America",,"Diocese of Wichita and Mid-America",,"Converted as an Adult",,,,,,,,"Ministry/ Organization President",,"Graduate Degree",,,,"President/professor of philosophy ","Growing the parish","Sexual morality","Youth Ministry (retention and return of youth & young adults)","Influx of new inquirers        ",,,,,,,,,
"Laity","Male",2000,"Georgia","Greek Orthodox Archdiocese of America",,"Metropolis of Atlanta",,"Converted as an Adult",,,,,,,,"Ministry/ Organization  Member",,"College Degree",,,,"Service Industry","Demographic shifts (how to balance the needs of different groups)","Depth of engagement"" in parish life (frequency of confession  attendance at non-Sunday services  participation in ministries)","Growing the parish""      ",,,,,,,,,,
"Laity","Female",1974,"Pennsylvania","Antiochian Orthodox Christian Archdiocese of North America",,"Diocese of Oakland, Charleston, and the Mid-Atlantic",,"Converted as an Adult",,,,,,,,"Ministry/ Organization President|Parish Council Member",,"College Degree",,,,"Consultant / Business Owner","Demographic shifts (how to balance the needs of different groups)","Effects of COVID-19 (attendance, stewardship, parish life, return & retention)","Mental health needs of parishioners        ",,,,,,,,,,
"Laity","Male",1965,"New York","Greek Orthodox Archdiocese of America",,"Direct Archdiocesan District",,"Cradle",,,,,,,,"Ministry/ Organization Leader","Youth Ministry","Some College|Graduate Degree",,,,"Accountant","Effects of COVID-19 (attendance, stewardship, parish life, return & retention)        ",,,,,,,,,,,,
"Laity","Male",1988,"Pennsylvania","Antiochian Orthodox Christian Archdiocese of North America",,"Diocese of Oakland, Charleston, and the Mid-Atlantic",,"Converted as an Adult",,,,,,,,"Ministry/ Organization Leader|Ministry/ Organization  Member|Parish Council Member","Subdeacon","Graduate Degree",,,,"Electrical Engineer","Influx of new inquirers","Depth of engagement"" in parish life (frequency of confession  attendance at non-Sunday services  participation in ministries)","Sexual morality""      ",,,,,,,,,,
"Clergy",,1952,"Virginia","Orthodox Church in America",,"Archdiocese of Washington DC",,"Converted as an Adult",,"Priest",,,,,,,,,,"St Vladimir's Orthodox Theological Seminary: Crestwood, New York",,,"Financial contributions/donations/stability","Demographic shifts (how to balance the needs of different groups)","Clergy shortage        ",,,,,,,,,,
"Clergy",,1983,"Pennsylvania","Orthodox Church in America",,"Diocese of Pittsburgh and Western Pennsylvania",,"Converted as an Adult",,"Deacon",,,,,,,,,,"An Orthodox Christian distance learning program ",,,"Growing the parish","Influx of new inquirers","Strategies for parish education, catechization, outreach, etc.        ",,,,,,,,,,
"Laity","Male",1960,"Georgia","American Carpatho-Russian Orthodox Diocese of the USA",,,,"Converted as an Adult",,,,,,,,,"None yet... ","Graduate Degree",,,,"Professor and writer","Demographic shifts (how to balance the needs of different groups)","Mental health needs of parishioners","Support for clergy (to avoid burnout)        ",,,,,,,,,,
"Laity","Male",1964,"Rhode Island","Orthodox Church in America",,"Diocese of New England",,"Converted as an Adult",,,,,,,,"Parish Council Member",,"Graduate Degree",,,,"Engineer","Financial contributions/donations/stability","Strategies for parish education, catechization, outreach, etc.","Effects of COVID-19 (attendance, stewardship, parish life, return & retention)        ",,,,,,,,,,
"Laity","Male",1973,"Texas","Greek Orthodox Archdiocese of America",,"Metropolis of Denver",,"Converted as an Adult",,,,,,,,,"Laity ","High School Diploma",,,,"Loan Officer","Youth Ministry (retention and return of youth & young adults)","Influx of new inquirers","Strategies for parish education, catechization, outreach, etc.        ",,,,,,,,,,
"Laity","Male",1998,"Florida","Antiochian Orthodox Christian Archdiocese of North America",,"Diocese of Miami and the Southeast",,"Converted as an Adult",,,,,,,,"Ministry/ Organization  Member",,"College Degree",,,,"Student","Growing the parish","Youth Ministry (retention and return of youth & young adults)","Support for clergy (to avoid burnout)","Influx of new inquirers        ",,,,,,,,,
"Laity","Female",1994,"Illinois","Serbian Orthodox Church in North, Central and South America",,"Diocese of New Gracanica-Midwestern America",,"Cradle",,,,,,,,,"Ministry staff ","Graduate Degree",,,,"Director of Staff, Orthodox Youth Ministries","Growing the parish","Financial contributions/donations/stability","Youth Ministry (retention and return of youth & young adults)        ",,,,,,,,,,
"Laity","Female",1959,"North Carolina","Orthodox Church in America",,"Diocese of Dallas and the South",,"Converted as an Adult",,,,,,,,,"Web Administrator","Graduate Degree",,,,"Education Director/Instructor","Strategies for parish education, catechization, outreach, etc.","Growing the parish","Financial contributions/donations/stability        ",,,,,,,,,,
"Laity","Male",2000,"Virginia","Orthodox Church in America",,"Diocese of Dallas and the South",,"Converted as an Adult",,,,,,,,"Parishioner not involved in a Ministry/ Organization",,"High School Diploma",,,,"US Navy Electrician's Mate Nuclear","Influx of new inquirers","Youth Ministry (retention and return of youth & young adults)","Sexual morality        ",,,,,,,,,,
"Clergy",,1985,"California","Greek Orthodox Archdiocese of America",,"Metropolis of San Francisco",,"Cradle",,"Priest",,,,,,,,,,"Holy Cross Greek Orthodox School of Theology: Brookline, Massachusetts",,,"Demographic shifts (how to balance the needs of different groups)","Youth Ministry (retention and return of youth & young adults)","Depth of engagement"" in parish life (frequency of confession  attendance at non-Sunday services  participation in ministries)""      ",,,,,,,,,,
"Laity","Male",1999,"Pennsylvania","Antiochian Orthodox Christian Archdiocese of North America",,"Diocese of Oakland, Charleston, and the Mid-Atlantic",,"Cradle",,,,,,,,"Ministry/ Organization  Member",,"College Degree",,,,"Software Engineer ","Financial contributions/donations/stability","Youth Ministry (retention and return of youth & young adults)","Depth of engagement"" in parish life (frequency of confession  attendance at non-Sunday services  participation in ministries)""      ",,,,,,,,,,
"Laity","Male",1997,"District of Columbia","Russian Orthodox Church Outside of Russia",,"Eastern America and New York Diocese",,"Converted as an Adult",,,,,,,,"Ministry/ Organization  Member",,"College Degree",,,,"Vaccine scientist","Depth of engagement"" in parish life (frequency of confession  attendance at non-Sunday services  participation in ministries)","Influx of new inquirers","Strategies for parish education  catechization  outreach  etc.""   ",,,,,,,,,,
"Clergy",,1954,"Washington","Greek Orthodox Archdiocese of America",,"Metropolis of San Francisco",,"Converted as an Adult",,"Priest",,,,,,,,,,"St Vladimir's Orthodox Theological Seminary: Crestwood, New York",,,"Influx of new inquirers","Depth of engagement"" in parish life (frequency of confession  attendance at non-Sunday services  participation in ministries)","Clergy shortage""      ",,,,,,,,,,
"Laity","Male",1960,"Virginia","Antiochian Orthodox Christian Archdiocese of North America",,"Diocese of Oakland, Charleston, and the Mid-Atlantic",,"Converted as an Adult",,,,,,,,"Parish Council President","subdeacon","High School Diploma",,,,"own a chemical company","Growing the parish","Youth Ministry (retention and return of youth & young adults)","Strategies for parish education, catechization, outreach, etc.        ",,,,,,,,,,
"Laity","Male",1945,"Rhode Island","Orthodox Church in America",,"Diocese of New England",,"Cradle",,,,,,,,"Parish Council Member",,"Graduate Degree",,,,"nuclear engineer ","Growing the parish","Financial contributions/donations/stability","Effects of COVID-19 (attendance, stewardship, parish life, return & retention)        ",,,,,,,,,,
"Laity","Male",2002,"Pennsylvania","American Carpatho-Russian Orthodox Diocese of the USA",,,,"Cradle",,,,,,,,,"Preschool Sunday School Teacher ","Some College|High School Diploma",,,,"Camp Nazareth Maintenance/Counselor","Growing the parish","Clergy shortage","Youth Ministry (retention and return of youth & young adults)        ",,,,,,,,,,
"Laity","Female",1996,"Florida","Greek Orthodox Archdiocese of America",,"Metropolis of Atlanta",,"Converted as an Adult",,,,,,,,"Parishioner not involved in a Ministry/ Organization",,"College Degree",,,,"Auditor","Youth Ministry (retention and return of youth & young adults)","Depth of engagement"" in parish life (frequency of confession  attendance at non-Sunday services  participation in ministries)","Demographic shifts (how to balance the needs of different groups)""      ",,,,,,,,,,
"Laity","Male",1954,"Pennsylvania","Antiochian Orthodox Christian Archdiocese of North America",,"Diocese of Oakland, Charleston, and the Mid-Atlantic",,"Cradle",,,,,,,,"Ministry/ Organization  Member",,"College Degree",,,,"Retired ","Demographic shifts (how to balance the needs of different groups)","Influx of new inquirers","Strategies for parish education, catechization, outreach, etc.        ",,,,,,,,,,
"Clergy",,1952,"Kansas","Antiochian Orthodox Christian Archdiocese of North America",,"Diocese of Wichita and Mid-America",,"Cradle",,"Archpriest/Protopresbyter",,,,,,,,,,"An Orthodox Christian distance learning program |An Orthodox Christian distance learning program|Antiochian House of Studies","St  Basil the Great ",,"Financial contributions/donations/stability","Youth Ministry (retention and return of youth & young adults)","Continuing education/training for clergy","Strategies for parish education, catechization, outreach, etc.","Influx of new inquirers","Growing the parish","Sexual morality","Depth of engagement"" in parish life (frequency of confession  attendance at non-Sunday services  participation in ministries)""      ",,,,,
"Laity","Female",1974,"Pennsylvania","American Carpatho-Russian Orthodox Diocese of the USA",,,,"Cradle",,,,,,,,"Ministry/ Organization  Member",,"Graduate Degree",,,,"Teacher of the Deaf- Audiotry Verbal Therapist ","Youth Ministry (retention and return of youth & young adults)","Clergy shortage        ",,,,,,,,,,,
"Clergy",,1953,"Florida","Orthodox Church in America",,"Diocese of Dallas and the South",,"Converted as an Adult",,"Archpriest/Protopresbyter",,,,,,,,,,"An Orthodox Christian distance learning program ",,,"Strategies for parish education, catechization, outreach, etc.","Influx of new inquirers","Financial contributions/donations/stability        ",,,,,,,,,,
"Laity","Female",1962,"Illinois","Greek Orthodox Archdiocese of America",,"Metropolis of Chicago",,"Cradle",,,,,,,,"Ministry/ Organization President|Parish Council Member",,"College Degree",,,,"IT Project Manager","Effects of COVID-19 (attendance, stewardship, parish life, return & retention)","Depth of engagement"" in parish life (frequency of confession  attendance at non-Sunday services  participation in ministries)","Youth Ministry (retention and return of youth & young adults)""      ",,,,,,,,,,
"Laity","Male",1965,"Illinois","Greek Orthodox Archdiocese of America",,"Metropolis of Chicago",,"Cradle",,,,,,,,"Ministry/ Organization  Member|Parish Council Member",,"Graduate Degree",,,,"Electronic Engineering","Depth of engagement"" in parish life (frequency of confession  attendance at non-Sunday services  participation in ministries)","Effects of COVID-19 (attendance  stewardship  parish life  return & retention)","Clergy shortage""   ",,,,,,,,,,
"Laity","Male",1964,"Oklahoma","Antiochian Orthodox Christian Archdiocese of North America",,"Diocese of Wichita and Mid-America",,"Converted as an Adult",,,,,,,,"Ministry/ Organization Leader|Ministry/ Organization  Member",,"Graduate Degree",,,,"Information Technology ","Strategies for parish education, catechization, outreach, etc.","Depth of engagement"" in parish life (frequency of confession  attendance at non-Sunday services  participation in ministries)","Youth Ministry (retention and return of youth & young adults)""      ",,,,,,,,,,
"Clergy",,1965,"Arizona","Greek Orthodox Archdiocese of America",,"Metropolis of San Francisco",,"Cradle",,"Priest",,"Active (primary)",,"Full-time",,,,,,"Holy Cross Greek Orthodox School of Theology: Brookline, Massachusetts",,,"Depth of engagement"" in parish life (frequency of confession  attendance at non-Sunday services  participation in ministries)""      ",,,,,,,,,,,,
"Laity","Male",1955,"Illinois","Greek Orthodox Archdiocese of America",,"Metropolis of Chicago",,"Converted as an Adult",,,,,,,,"Parish Council Member",,"Graduate Degree",,,,"Retired academic administrator ","Growing the parish","Demographic shifts (how to balance the needs of different groups)","Effects of COVID-19 (attendance, stewardship, parish life, return & retention)        ",,,,,,,,,,
"Laity","Male",1943,"North Carolina","American Carpatho-Russian Orthodox Diocese of the USA",,,,"Converted as an Adult",,,,,,,,,"Congregant","Graduate Degree",,,,"Research ","Support for clergy (to avoid burnout)","Growing the parish","Clergy shortage        ",,,,,,,,,,
"Laity","Male",1955,"Washington","Orthodox Church in America",,"Diocese of San Francisco and the West",,"Cradle",,,,,,,,"Parish Council Member",,"Graduate Degree",,,,"CEO","Growing the parish","Support for clergy (to avoid burnout)","Effects of COVID-19 (attendance, stewardship, parish life, return & retention)        ",,,,,,,,,,
"Clergy",,1964,"Ohio","Antiochian Orthodox Christian Archdiocese of North America",,"Diocese of Toledo and the Midwest",,"Converted as an Adult",,"Priest",,"Active (primary)",,"Full-time",,,,,,"Holy Cross Greek Orthodox School of Theology: Brookline, Massachusetts",,,"Depth of engagement"" in parish life (frequency of confession  attendance at non-Sunday services  participation in ministries)","Growing the parish","Support for clergy (to avoid burnout)""      ",,,,,,,,,,
"Laity","Female",1993,"New York","American Carpatho-Russian Orthodox Diocese of the USA",,,,"Cradle",,,,,,,,"Ministry/ Organization Leader|Ministry/ Organization  Member",,"College Degree",,,,"Financial analyst ","Financial contributions/donations/stability","Depth of engagement"" in parish life (frequency of confession  attendance at non-Sunday services  participation in ministries)","Continuing education/training for clergy","Support for clergy (to avoid burnout)""      ",,,,,,,,,
"Clergy",,1949,"New Jersey","Orthodox Church in America",,"Diocese of New York and New Jersey",,"Converted as an Adult",,"Protodeacon",,,,,,,,,,"An Orthodox Christian distance learning program",,,"Demographic shifts (how to balance the needs of different groups)","Effects of COVID-19 (attendance, stewardship, parish life, return & retention)","Growing the parish        ",,,,,,,,,,
"Laity","Female",1959,"New Jersey","Orthodox Church in America",,"Diocese of New York and New Jersey",,"Converted as an Adult",,,,,,,,"Ministry/ Organization Leader",,"College Degree",,,,"Administrative Support","Growing the parish","Strategies for parish education, catechization, outreach, etc.","Youth Ministry (retention and return of youth & young adults)        ",,,,,,,,,,
"Clergy",,1951,"New Jersey","Orthodox Church in America",,"Diocese of New York and New Jersey",,"Converted as an Adult",,"Protodeacon",,,,,,,,,,"An Orthodox Christian distance learning program ","OCA Late Vocations Program",,"Growing the parish","Clergy shortage","Depth of engagement"" in parish life (frequency of confession  attendance at non-Sunday services  participation in ministries)""      ",,,,,,,,,,
"Laity","Male",1971,"New Jersey","Orthodox Church in America",,"Diocese of New York and New Jersey",,"Converted as an Adult",,,,,,,,"Parish Council Treasurer",,"College Degree",,,,"Finance","Effects of COVID-19 (attendance, stewardship, parish life, return & retention)","Mental health needs of parishioners","Demographic shifts (how to balance the needs of different groups)        ",,,,,,,,,,
"Clergy",,1961,"New York","Orthodox Church in America",,"Diocese of New York and New Jersey",,"Cradle",,"Archimandrite",,,,,,,,,,"St Vladimir's Orthodox Theological Seminary: Crestwood, New York| St Tikhon's Orthodox Theological Seminary: South Canaan, Pennsylvania",,,"Financial contributions/donations/stability","Growing the parish","Support for clergy (to avoid burnout)        ",,,,,,,,,,
"Laity","Female",1999,"Texas","Orthodox Church in America",,"Diocese of Dallas and the South",,"Converted as a Child",,,,,,,,"Parishioner not involved in a Ministry/ Organization",,"College Degree",,,,"Student ","Depth of engagement"" in parish life (frequency of confession  attendance at non-Sunday services  participation in ministries)","Influx of new inquirers","Financial contributions/donations/stability""      ",,,,,,,,,,
"Laity","Male",1968,"Illinois","Antiochian Orthodox Christian Archdiocese of North America",,"Diocese of Toledo and the Midwest",,"Converted as an Adult",,,,,,,,"Parishioner not involved in a Ministry/ Organization",,"College Degree",,,,"Radiology Technologist","Youth Ministry (retention and return of youth & young adults)","Clergy shortage","Support for clergy (to avoid burnout)        ",,,,,,,,,,
"Laity","Male",1956,"Mississippi","Orthodox Church in America",,"Diocese of Dallas and the South",,"Converted as an Adult",,,,,,,,"Parish Council Member",,"College Degree",,,,"Retired","Strategies for parish education, catechization, outreach, etc.","Growing the parish","Clergy shortage        ",,,,,,,,,,
"Laity","Male",1983,"Idaho","Antiochian Orthodox Christian Archdiocese of North America",,"Diocese of Oakland, Charleston, and the Mid-Atlantic",,"Converted as an Adult",,,,,,,,"Parishioner not involved in a Ministry/ Organization",,"College Degree",,,,"Construction Estimator","Youth Ministry (retention and return of youth & young adults)","Influx of new inquirers","Strategies for parish education, catechization, outreach, etc.        ",,,,,,,,,,
"Clergy",,1977,"Ohio","Orthodox Church in America",,"Diocese of Chicago and the Midwest",,"Cradle",,"Deacon",,,,,,,,,,"An Orthodox Christian distance learning program",,,"Clergy shortage","Growing the parish","Youth Ministry (retention and return of youth & young adults)","Support for clergy (to avoid burnout)        ",,,,,,,,,
"Laity","Male",2002,"Colorado","Antiochian Orthodox Christian Archdiocese of North America",,"Diocese of Wichita and Mid-America",,"Converted as an Adult",,,,,,,,"Parishioner not involved in a Ministry/ Organization",,"Some College|High School Diploma",,,,"Legal services/Student","Support for clergy (to avoid burnout)","Influx of new inquirers","Strategies for parish education, catechization, outreach, etc.        ",,,,,,,,,,
"Laity","Male",1976,"Mississippi","Orthodox Church in America",,"Diocese of Dallas and the South",,"Converted as an Adult",,,,,,,,"Parish Council Treasurer",,"College Degree",,,,"IT","Growing the parish","Depth of engagement"" in parish life (frequency of confession  attendance at non-Sunday services  participation in ministries)","Influx of new inquirers""      ",,,,,,,,,,
"Clergy",,1960,"Kansas","Orthodox Church in America",,"Diocese of Chicago and the Midwest",,"Cradle",,"Archpriest/Protopresbyter",,,,,,,,,," St Tikhon's Orthodox Theological Seminary: South Canaan, Pennsylvania",,,"Growing the parish","Youth Ministry (retention and return of youth & young adults)","Strategies for parish education, catechization, outreach, etc.        ",,,,,,,,,,
"Laity","Male",1996,"New York","Greek Orthodox Archdiocese of America",,"Direct Archdiocesan District",,"Cradle",,,,,,,,"Ministry/ Organization Leader|Ministry/ Organization  Member","Youth Organizer","Graduate Degree|College Degree",,,,"Criminal Justice","Youth Ministry (retention and return of youth & young adults)","Effects of COVID-19 (attendance, stewardship, parish life, return & retention)        ",,,,,,,,,,,
"Laity","Female",1980,"Nebraska","Antiochian Orthodox Christian Archdiocese of North America",,"Diocese of Wichita and Mid-America",,"Cradle",,,,,,,,,"Parisher ","Graduate Degree",,,,"Teacher ","Financial contributions/donations/stability","Support for clergy (to avoid burnout)        ",,,,,,,,,,,
